iter	Logloss
0	0.6858131386
1	0.6780123747
2	0.6701756372
3	0.6627285441
4	0.656131747855	0.648707186466	0.642088372577	0.634663191788	0.628123021899	0.6216070271010	0.612908768111	0.6067674386112	0.6014694553113	0.5958942727114	0.5902924205115	0.5839970843116	0.5780124855
17	0.5715012765
18	0.5652754813
19	0.5596061303
20	0.5540576957
21	0.5481171463
22	0.5422120013
23	0.5364125119
24	0.5309914872
25	0.5262611557
26	0.5214426588
27	0.5156739411
28	0.5103360099
29	0.506691886
30	0.5010028133
31	0.49644736
32	0.4918223576
33	0.4865628595
34	0.4811740956
35	0.4772909518
36	0.4718911177
37	0.4671861144
38	0.4625207477
39	0.4573316383
40	0.4523102028
41	0.4475868861
42	0.4414440499
43	0.4376213866
44	0.4336930152
45	0.4294877453
46	0.4251300195
47	0.4204425439
48	0.4177977931
49	0.4129750722
50	0.4090179354
51	0.4046875105252	0.4008343425353	0.3966314575454	0.3930753989
55	0.3892033258
56	0.3854823075
57	0.3819358914
58	0.3779773285
59	0.3739133046060	0.3701644686161	0.3673048966262	0.363739116663	0.3602260139664	0.3568195286565	0.35335933366	0.352285817
67	67	0.3469341868	68	0.3439590569	69	0.3408605770	70	0.3380357871	0.337095446
72	0.3342540448
73	0.3312213555
74	0.327914564
75	0.3246909687676	0.32008473277	0.3134346628
78	0.3178	0.311879	0.3079185372
80	0.3053854049
81	0.3025905475
82	0.2997383872
83	0.2968599334
84	0.2936732519
85	0.2913155295
86	0.2893907186
87	0.2868262746
88	0.2841821301
89	0.2826933602
90	0.2801027026
91	0.2776715197
92	0.2754098129
93	0.2714860641994	0.2689286019995	0.266285747696	0.269772046
97	0.2672089735
98	0.2650336612
99	0.2629446913
100	0.2610593221
101	0.2596609172
102	0.2572587279
103	0.2549645744
104	0.2528253946
105	0.2506765226
106	0.2486628675
107	0.2466354156
108	0.2447200399
109	0.2428456031
110	0.2405260916
111	0.2388502267
112	0.2369266964
113	0.2345202332
114	0.2322565408
115	0.2306151826
116	0.22870961621117	0.226735209
118	0.224868087
119	0.2231600024
120	0.2215871904
121	0.21979116812122	0122	0.216012123	0123	0.214212124	0124	0.21221125	0.2127086657
126	0.2109643384
127	0.2088345356
128	0.2068968179
129	0.2052671783
130	0.2037554842
131	0.131	0.19852132	0132	0.197110133	0133	0.195561134	0134	0.193633135	0135	0.191905136	0.1946581459
137	0137	0.18792138	0.138	0.18644139	0.139	0.18499140	0.140	0.1833141	0.1141	0.1824142	0.1142	0.1810537158
143	0.1792084375
144	0.17761038
145	0.1766197403
146	0.1755559922
147	0.1738316933
148	0.1726541593
149	0.1713541721
150	0.1704567447
151	0.1694438586
152	0.1677036543
153	0.1665950854
154	0.1656024547
155	0.1643497794
156	0.1624393271
157	0.161113421
158	0.1599728463
159	0.1589011755
160	0.1578163245
161	0.1565406287
162	0.1554551346
163	0.1543668229
164	0.1529572633
165	0.1519095454
166	0.1508791889
167	0.1500197262
168	0.1489994472
169	0.1476941738
170	0.1465478615
171	0.1456156349
172	0.1445875024
173	0.1434941156
174	0.1426052744
175	0.1417161748
176	0.1406992734
